〇	[〇_j]
儆	[亻艹勹口攵_n_e_ry_j_mo]
儇	[亻罒一口𧘇_n_lk_a_j_rh]
儈	[亻人一{曾中}日_n_od_a_lk_k]
儉	[亻人一口口人人_n_od_a_j_j_od_od]
儊	[亻木木乛龰_n_f_f_x_ii]
儋	[亻⺈厂八言_n_r_gg_o_s]
儌	[亻白方攵_n_nk_sy_mo]
儍	[亻※凵八夊_n_os_zi_o_rs]
儎	[亻𢦏車_n_eh_fk]
儏	[亻⺊夕又米_n_id_rs_xs_uf]
儐	[亻宀一{小}貝_n_wd_a_ko_lo]
儑	[亻日㇜厶㇜厶灬_n_k_z_zs_z_zs_uo]
儒	[亻⻗而_n_fv_gl]
儓	[亻士口冖至_n_b_j_ww_hb]
儔	[亻士乛工一口寸_n_b_x_bi_a_j_ds]
儕	[亻亠刀丷丨{氏}{斉下}_n_s_yd_ud_i_rh_nd]
儖	[亻臣{⺮半}皿_n_h_m_lka]
儗	[亻匕矢龴乛龰_n_rr_ma_xs_x_ii]
儘	[亻⺻灬皿_n_xb_uo_lka]
儙	[亻辶口丨一㠯_n_w_j_i_a_y]
儚	[亻艹罒冖夕_n_e_lk_ww_rs]
儛	[亻𠂉{無中}夕㐄_n_ma_ea_rs_mb]
儜	[亻宀心皿丁_n_wd_wz_lka_ai]
儝	[亻火火冖木_n_uo_uo_ww_f]
儞	[亻一八巾㐅乂㐅乂_n_a_o_li_os_os_os_os]
償	[亻⺌冖口貝_n_ko_ww_j_lo]
儠	[亻巛囗㐅{鼠下}_n_zd_jd_os_zd]
儡	[亻田田田_n_ki_ki_ki]
儢	[亻虍田心_n_ih_ki_wz]
儣	[亻廣_n_tg]
儤	[亻日龷八氺_n_k_ea_o_kv]
儥	[亻士罒貝_n_b_lk_lo]
儦	[亻鹿灬_n_tx_uo]
儧	[亻二人二人貝_n_bd_od_bd_od_lo]
儨	[亻斤斤貝_n_pd_pd_lo]
儩	[亻貝日勹{丿丿}_n_lo_k_ry_od]
優	[亻一自冖心夊_n_a_nl_ww_wz_rs]
儫	[亻亠口冖豕_n_s_j_ww_gq]
儬	[亻龶⺝見_n_ci_q_lr]
儭	[亻立朩見_n_su_f_lr]
儮	[亻厂禾禾止_n_gg_mf_mf_ii]
儯	[亻龹馬_n_ub_cu]
儰	[亻艹爫丿乛乛㇆灬_n_e_pv_m_x_x_y_uo]
儱	[亻龍_n_si]
儲	[亻言者_n_s_bm]
儳	[亻⺈口匕匕⺈口儿丶_n_r_j_rr_rr_r_j_rd_s]
儴	[亻亠口口{冓上}𧘇_n_s_j_j_eb_rh]
儵	[亻丨夂{柬中}土灬_n_i_rs_lk_b_uo]
儶	[亻山隹{冏}_n_ll_ni_ld]
儷	[亻一{冂块}一{冂块}鹿_n_a_ld_a_ld_tx]
儸	[亻罒糹隹_n_lk_z_ni]
儹	[亻⺧儿⺧儿貝_n_mb_rd_mb_rd_lo]
儺	[亻廿口二人隹_n_ea_j_bd_od_ni]
儻	[亻⺌冖口{柬中}土灬_n_ko_ww_j_lk_b_uo]
儼	[亻口口厂乛耳攵_n_j_j_gg_x_ce_mo]
儽	[亻田田田糸_n_ki_ki_ki_z]
儾	[亻一口丨冖口口{冓上}𧘇_n_a_j_i_ww_j_j_eb_rh]
儿	[儿_rd]
兀	[兀_gr]
允	[厶儿_zs_rd]
兂	[{匸}儿_h_rd]
元	[二儿_bd_rd]
兄	[口儿_j_rd]
充	[亠厶儿_s_zs_rd]
兆	[∷儿_v_rd]
兇	[㐅凵儿_os_zi_rd]
先	[⺧儿_mb_rd]
光	[⺌兀_ko_gr]
兊	[八厶儿_o_zs_rd]
克	[十口儿_ed_j_rd]
兌	[八口儿_o_j_rd]
免	[⺈口儿_r_j_rd]
兎	[丿口儿丶_m_j_rd_s]
兏	[⺁⺊兀_pd_id_gr]
児	[丨日儿_i_k_rd]
兑	[丷口儿_ud_j_rd]
兒	[臼儿_nb_rd]
兓	[{匸}儿{匸}儿_h_rd_h_rd]
兔	[⺈口儿丶_r_j_rd_s]
兕	[丨㇅丨㇕一儿_i_y_i_x_a_rd]
兖	[亠八厶儿_s_o_zs_rd]
兗	[亠八口儿_s_o_j_rd]
兘	[二儿厶口_bd_rd_zs_j]
兙	[十口儿十_ed_j_rd_ed]
党	[⺌冖口儿_ko_ww_j_rd]
兛	[十口儿千_ed_j_rd_me]
兜	[{卬左}白コ儿_rh_nk_x_rd]
兝	[十口儿八刀_ed_j_rd_o_yd]
兞	[十口儿毛_ed_j_rd_mh]
兟	[⺧儿⺧儿_mb_rd_mb_rd]
兠	[{北左}白匕儿_ti_nk_rr_rd]
兡	[十口儿一白_ed_j_rd_a_nk]
兢	[十口儿十口儿_ed_j_rd_ed_j_rd]
兣	[十口儿厂日土_ed_j_rd_gg_k_b]
兤	[⺌兀廣_ko_gr_tg]
入	[入_oda]
兦	[㇗入_z_oda]
內	[冂入_ld_oda]
全	[人王_od_c]
兩	[一巾入入_a_li_oda_oda]
兪	[入一⺝巜_oda_a_q_zd]
八	[八_o]
公	[八厶_o_zs]
六	[亠八_s_o]
兮	[八一㇉_o_a_z]
兯	[丷ㄗ_ud_y]
兰	[䒑二_ua_bd]
共	[龷八_ea_o]
兲	[王八_c_o]
关	[䒑大_ua_gd]
兴	[⺍一八_vd_a_o]
兵	[丘八_pda_o]
其	[其_ec]
具	[{且}八_lc_o]
典	[冂龷八_ld_ea_o]
兹	[䒑㇜厶㇜厶_ua_z_zs_z_zs]
兺	[八刀口匕_o_yd_j_rr]
养	[{菐下}{丿丨}_uc_nd]
兼	[䒑{兼下}_ua_xk]
兽	[丷田一口_ud_ki_a_j]
兾	[丷田龷八_ud_ki_ea_o]
兿	[䒑扌丸二厶_ua_d_qya_bd_zs]
冀	[{北左}匕田龷八_ti_rr_ki_ea_o]
冁	[丷日十尸卄{畏下}_ud_k_ed_xm_e_h]
冂	[冂_ld]
冃	[冂二_ld_bd]
冄	[冂二_ld_bd]
内	[冂人_ld_od]
円	[冂丨一_ld_i_a]
冇	[𠂇冂_gd_ld]
冈	[冂㐅_ld_os]
冉	[冂土_ld_b]
冊	[冂卄_ld_e]
冋	[冂口_ld_j]
册	[{月框}{月框}一_q_q_a]
再	[一冂土_a_ld_b]
冎	[{冎上}冂_ld_ld]
冏	[冂八口_ld_o_j]
冐	[⺜⺝_k_q]
冑	[由{冃}_kia_ld]
冒	[⺜目_k_l]
冓	[{冓上}冂土_eb_ld_b]
冔	[⺜口一{于下}_k_j_a_d]
冕	[⺜⺈口儿_k_r_j_rd]
冖	[冖_ww]
冗	[冖几_ww_qd]
冘	[冖儿_ww_rd]
写	[冖一㇉一_ww_a_z_a]
冚	[冖山_ww_ll]
军	[冖车_ww_he]
农	[冖𧘇_ww_rh]
冝	[冖且_ww_lc]
冞	[冖米_ww_uf]
冟	[冖白匕_ww_nk_rr]
冠	[冖二儿寸_ww_bd_rd_ds]
冡	[冖一豕_ww_a_gq]
冢	[冖豕丶_ww_gq_s]
冣	[冖耳又_ww_ce_xs]
冤	[冖⺈口儿丶_ww_r_j_rd_s]
冥	[冖日亠八_ww_k_s_o]
冦	[冖二儿⺊又_ww_bd_rd_id_xs]
冧	[冖木木_ww_f_f]
冨	[冖一口田_ww_a_j_ki]
冩	[冖臼勹灬_ww_nb_ry_uo]
冪	[冖艹日大巾_ww_e_k_gd_li]
冫	[冫_td]
冬	[夂⺀_rs_td]
冭	[大⺀_gd_td]
冮	[冫工_td_bi]
冯	[冫马_td_x]
冰	[冫水_td_kv]
冱	[冫二{互中}_td_bd_zm]
冲	[冫口丨_td_j_i]
决	[冫㇕大_td_x_gd]
冴	[冫牙_td_hi]
况	[冫口儿_td_j_rd]
冶	[冫厶口_td_zs_j]
冷	[冫人{之}_td_od_w]
冸	[冫半_td_ub]
冹	[冫𠂇又丶_td_gd_xs_s]
冺	[冫{巳}{七}_td_yyb_hd]
冻	[冫{七}小_td_hd_ko]
冼	[冫⺧儿_td_mb_rd]
冽	[冫一夕刂_td_a_rs_kd]
冾	[冫人一口_td_od_a_j]
冿	[冫肀二_td_xb_bd]
净	[冫⺈{争下}_td_r_xb]
凁	[冫木口_td_f_j]
凂	[冫⺈口儿_td_r_j_rd]
凃	[冫人{余下}_td_od_mf]
凄	[冫一{肀}女_td_a_xb_zm]
凅	[冫囗十口_td_jd_ed_j]
准	[冫隹_td_ni]
凇	[冫木八厶_td_f_o_zs]
凈	[冫爫{争下}_td_pv_xb]
凉	[冫亠口小_td_s_j_ko]
凊	[冫龶⺝_td_ci_q]
凋	[冫⺆土口_td_ld_b_j]
凌	[冫土八夊_td_b_o_rs]
凍	[冫木日_td_f_k]
凎	[冫金_td_p]
减	[冫戊一口_td_hm_a_j]
凐	[冫覀土_td_fj_b]
凑	[冫𡗗一大_td_co_a_gd]
凒	[冫山一口䒑_td_ll_a_j_ua]
凓	[冫覀木_td_fj_f]
凔	[冫人丶{倉中}口_td_od_s_xm_j]
凕	[冫冖日亠八_td_ww_k_s_o]
凖	[冫隹十_td_ni_ed]
凗	[冫山隹_td_ll_ni]
凘	[冫其斤_td_ec_pd]
凙	[冫罒土{幸下}_td_lk_b_ub]
凚	[冫木木示_td_f_f_bk]
凛	[冫亠囗口示_td_s_jd_j_bk]
凜	[冫亠囗口禾_td_s_jd_j_mf]
凝	[冫匕矢龴乛龰_td_rr_ma_xs_x_ii]
凞	[冫丿臣巳灬_td_m_h_yyb_uo]
凟	[冫士罒貝_td_b_lk_lo]
几	[几_qd]
凡	[凡_qda]
凢	[丿几_m_qd]
凣	[丨几_i_qd]
凤	[⺇又_qd_xs]
凥	[尸几_xm_qd]
処	[夊几_rs_qd]
凧	[⺇巾_qd_li]
凨	[⺇二厶_qd_bd_zs]
凩	[⺇木_qd_f]
凪	[⺇止_qd_ii]
凫	[{鸟}几_rz_qd]
凬	[⺇一日_qd_a_k]
凭	[亻丿士几_n_m_b_qd]
凮	[⺇一白_qd_a_nk]
凯	[山己几_ll_yy_qd]
凰	[⺇白王_qd_nk_c]
凱	[山一口䒑几_ll_a_j_ua_qd]
凲	[⺇䒑{兼下}_qd_ua_xk]
凳	[癶一口䒑几_xs_a_j_ua_qd]
凴	[冫馬几_td_cu_qd]
凵	[凵_zi]
凶	[㐅凵_os_zi]
凷	[土凵_b_zi]
凸	[丨一丨㇎一_i_a_i_y_a]
凹	[丨㇅丨㇕一_i_y_i_x_a]
出	[屮凵_zi_zi]
击	[キ凵_bi_zi]
凼	[水凵_kv_zi]
函	[㇇氺凵_x_kv_zi]
凾	[了口又凵_y_j_xs_zi]
凿	[业{幸下}凵_ku_ub_zi]
刀	[刀_yd]
刁	[㇆㇀_y_a]
刂	[刂_kd]
刃	[刀丶_yd_s]
刄	[刀㇏_yd_s]
刅	[刀八_yd_o]
分	[八刀_o_yd]
切	[七刀_hd_yd]
刈	[㐅刂_os_kd]
刉	[𠂉乙刂_ma_yda_kd]
刊	[一十刂_a_ed_kd]
刋	[丿𠂇刂_m_gd_kd]
刌	[寸刂_ds_kd]
刍	[⺈⺕_r_xb]
刎	[勹{丿丿}刂_ry_od_kd]
刏	[气刂_my_kd]
刐	[{月框}亠刂_q_s_kd]
刑	[一廾刂_a_e_kd]
划	[戈刂_hm_kd]
刓	[二儿刂_bd_rd_kd]
刔	[㇕大刂_x_gd_kd]
刕	[刀刀刀_yd_yd_yd]
刖	[月刂_q_kd]
列	[一夕刂_a_rs_kd]
刘	[文刂_so_kd]
则	[贝刂_lo_kd]
刚	[{冈}刂_ld_kd]
创	[人㔾刂_od_yyb_kd]
刜	[弓{丿丨}刂_yz_nd_kd]
初	[衤刀_wt_yd]
刞	[且刂_lc_kd]
刟	[刀口刂_yd_j_kd]
删	[{月框}{月框}一刂_q_q_a_kd]
刡	[{巳}{七}刂_yyb_hd_kd]
刢	[人{之}刂_od_w_kd]
刣	[厶口刂_zs_j_kd]
判	[半刂_ub_kd]
別	[口{万下}刂_j_ym_kd]
刦	[土厶刂_b_zs_kd]
刧	[土厶刀_b_zs_yd]
刨	[包刂_ry_kd]
利	[禾刂_mf_kd]
刪	[冂卄刂_ld_e_kd]
别	[口力刂_j_ym_kd]
刬	[戋刂_hm_kd]
刭	[ス工刂_xs_bi_kd]
刮	[舌刂_mi_kd]
刯	[二日刂_bd_k_kd]
到	[至刂_hb_kd]
刱	[二{丿丨}刀八_bd_nd_yd_o]
刲	[土土刂_b_b_kd]
刳	[大二㇉刂_gd_bd_z_kd]
刴	[㇡丿木刂_y_m_f_kd]
刵	[耳刂_ce_kd]
制	[{牛}巾刂_mb_li_kd]
刷	[尸巾刂_xm_li_kd]
券	[龹刀_ub_yd]
刹	[㐅朩刂_os_f_kd]
刺	[木冂刂_f_ld_kd]
刻	[亠{亥中}人刂_s_zm_od_kd]
刼	[土厶刀丶_b_zs_yd_s]
刽	[人二厶刂_od_bd_zs_kd]
刾	[二火刂_bd_uo_kd]
刿	[山夕刂_ll_rs_kd]
剀	[山己刂_ll_yy_kd]
剁	[几木刂_qd_f_kd]
剂	[文{丿丨}刂_so_nd_kd]
剃	[丷{弟下}刂_ud_yz_kd]
剄	[{巠上}工刂_hd_bi_kd]
剅	[一口䒑刂_a_j_ua_kd]
剆	[丶{艮}刂_s_xo_kd]
則	[貝刂_lo_kd]
剈	[口⺝刂_j_q_kd]
剉	[人人土刂_od_od_b_kd]
削	[⺌⺝刂_ko_q_kd]
剋	[十口儿刂_ed_j_rd_kd]
剌	[木口刂_f_j_kd]
前	[䒑⺝刂_ua_q_kd]
剎	[㐅木丶刂_os_f_s_kd]
剏	[䒑廾刀丶_ua_e_yd_s]
剐	[口冂人刂_j_ld_od_kd]
剑	[人二⺍刂_od_bd_vd_kd]
剒	[龷日刂_ea_k_kd]
剓	[禾勹丿刀_mf_ry_m_yd]
剔	[日勹{丿丿}刂_k_ry_od_kd]
剕	[非刂_kc_kd]
剖	[立口刂_su_j_kd]
剗	[戈戈刂_hm_hm_kd]
剘	[其刂_ec_kd]
剙	[䒑廾刀八_ua_e_yd_o]
剚	[{于下}口⺕刂_d_j_xb_kd]
剛	[{岡}刂_ld_kd]
剜	[宀夕㔾刂_wd_rs_yyb_kd]
剝	[彑氺刂_zm_kv_kd]
剞	[大丁口刂_gd_ai_j_kd]
剟	[又又又又刂_xs_xs_xs_xs_kd]
剠	[亠口小刂_s_j_ko_kd]
剡	[火火刂_uo_uo_kd]
剢	[豕丶刂_gq_s_kd]
剣	[人一口人刂_od_a_j_od_kd]
剤	[文{斉下}刂_so_nd_kd]
剥	[⼹氺刂_xb_kv_kd]
剦	[大日乚刂_gd_k_z_kd]
剧	[尸十口刂_xm_ed_j_kd]
剨	[丰石刂_ci_g_kd]
剩	[禾{北左}匕刂_mf_ti_rr_kd]
剪	[䒑⺝刂刀_ua_q_kd_yd]
剫	[广廿又刂_tg_ea_xs_kd]
剬	[山而刂_ll_gl_kd]
剭	[尸至刂_xm_hb_kd]
剮	[咼刂_lj_kd]
副	[一口田刂_a_j_ki_kd]
剰	[禾龷刂_mf_ea_kd]
剱	[人一口人刀丶_od_a_j_od_yd_s]
割	[宀丰口刂_wd_ci_j_kd]
剳	[艹人一口刂_e_od_a_j_kd]
剴	[山一口䒑刂_ll_a_j_ua_kd]
創	[人丶{倉中}口刂_od_s_xm_j_kd]
剶	[彑{乑}刂_zm_gq_kd]
剷	[立丿生刂_su_m_mc_kd]
剸	[{專上}寸刂_fk_ds_kd]
剹	[习习人彡刂_yt_yt_od_pd_kd]
剺	[二小攵厂刀_bd_ko_mo_gg_yd]
剻	[山月月刂_ll_q_q_kd]
剼	[厶厶厶人彡刂_zs_zs_zs_od_pd_kd]
剽	[覀示刂_fj_bk_kd]
剾	[匸口口口刂_h_j_j_j_kd]
剿	[巛日木刂_zd_k_f_kd]
劀	[龴乛亅丿{冏}刂_xs_x_i_m_ld_kd]
劁	[隹灬刂_ni_uo_kd]
劂	[厂䒑{艸左}欠刂_gg_ua_zi_ro_kd]
劃	[{⺻}田一刂_xb_ki_a_kd]
劄	[⺮人一口刂_m_od_a_j_kd]
劅	[罒勹虫刂_lk_ry_i_kd]
劆	[广䒑{兼下}刂_tg_ua_xk_kd]
劇	[虍豕刂_ih_gq_kd]
劈	[尸口辛刀_xm_j_se_yd]
劉	[{卬左}丶刀金刂_rh_s_yd_p_kd]
劊	[人一{曾中}日刂_od_a_lk_k_kd]
劋	[口口口木刂_j_j_j_f_kd]
劌	[止戊一{小}刂_ii_hm_a_ko_kd]
劍	[人一口口人人刂_od_a_j_j_od_od_kd]
劎	[人一口口人人刀_od_a_j_j_od_od_yd]
劏	[⺌冖口田刂_ko_ww_j_ki_kd]
劐	[艹隹又刂_e_ni_xs_kd]
劑	[亠刀丷丨{氏}{斉下}刂_s_yd_ud_i_rh_nd_kd]
劒	[人一口口人人刀丶_od_a_j_j_od_od_yd_s]
劓	[自田一{丿丨}刂_nl_ki_a_nd_kd]
劔	[人一口口人人刀㇏_od_a_j_j_od_od_yd_s]
劕	[斤斤貝刂_pd_pd_lo_kd]
劖	[⺈口匕匕⺈口儿丶刂_r_j_rr_rr_r_j_rd_s_kd]
劗	[⺧儿⺧儿貝刂_mb_rd_mb_rd_lo_kd]
劘	[广木木非刂_tg_f_f_kc_kd]
劙	[彑{乑}虫虫刂_zm_gq_i_i_kd]
劚	[尸氺罒勹虫刂_xm_kv_lk_ry_i_kd]
力	[力_ym]
劜	[力乚_ym_z]
劝	[又力_xs_ym]
办	[力八_ym_o]
功	[工力_bi_ym]
加	[力口_ym_j]
务	[夂力_rs_ym]
劢	[一{万下}力_a_ym_ym]
劣	[小丿力_ko_m_ym]
劤	[斤力_pd_ym]
劥	[亠几力_s_qd_ym]
劦	[力力力_ym_ym_ym]
劧	[手力_md_ym]
动	[二厶力_bd_zs_ym]
助	[且力_lc_ym]
努	[女又力_zm_xs_ym]
劫	[土厶力_b_zs_ym]
劬	[勹口力_ry_j_ym]
劭	[刀口力_yd_j_ym]
劮	[{牛}人力_mb_od_ym]
劯	[石力_g_ym]
劰	[白力_nk_ym]
励	[厂一{万下}力_gg_a_ym_ym]
劲	[ス工力_xs_bi_ym]
劳	[艹冖力_e_ww_ym]
労	[⺍冖力_vd_ww_ym]
劵	[龹力_ub_ym]
劶	[⺁一口力_pd_a_j_ym]
劷	[⺶力_uc_ym]
劸	[土土力_b_b_ym]
効	[亠八乂力_s_o_os_ym]
劺	[厶牛力_zs_mb_ym]
劻	[匚王力_h_c_ym]
劼	[士口力_b_j_ym]
劽	[一夕刂力_a_rs_kd_ym]
劾	[亠{亥中}人力_s_zm_od_ym]
势	[扌丸力_d_qya_ym]
勀	[十口儿力_ed_j_rd_ym]
勁	[{巠上}工力_hd_bi_ym]
勂	[⺧口力_mb_j_ym]
勃	[十冖子力_ed_ww_ya_ym]
勄	[𠂉母力_ma_zy_ym]
勅	[木口力_f_j_ym]
勆	[丶{艮}力_s_xo_ym]
勇	[龴{甬下}力_xs_ld_ym]
勈	[龴{甬下}力_xs_ld_ym]
勉	[⺈口儿力_r_j_rd_ym]
勊	[十口儿力_ed_j_rd_ym]
勋	[口贝力_j_lo_ym]
勌	[龹㔾力_ub_yyb_ym]
勍	[亠口小力_s_j_ko_ym]
勎	[土八土力_b_o_b_ym]
勏	[立口力_su_j_ym]
勐	[子皿力_ya_lka_ym]
勑	[木人人力_f_od_od_ym]
勒	[革力_ee_ym]
勓	[匕匕白力_rr_rr_nk_ym]
勔	[丆囗ㅒ力_g_jd_kd_ym]
動	[千日二力_me_k_bd_ym]
勖	[⺜目力_k_l_ym]
勗	[日且力_k_lc_ym]
勘	[其㇗力_ec_z_ym]
務	[龴乛亅丿夂力_xs_x_i_m_rs_ym]
勚	[廿㇗贝力_ea_z_lo_ym]
勛	[口貝力_j_lo_ym]
勜	[八厶习习力_o_zs_yt_yt_ym]
勝	[月龹力_q_ub_ym]
勞	[火火冖力_uo_uo_ww_ym]
募	[艹日大力_e_k_gd_ym]
勠	[习习人彡力_yt_yt_od_pd_ym]
勡	[覀示力_fj_bk_ym]
勢	[土八土丸力_b_o_b_qya_ym]
勣	[龶貝力_ci_lo_ym]
勤	[廿口龶力_ea_j_ci_ym]
勥	[弓口虫力_yz_j_i_ym]
勦	[巛日木力_zd_k_f_ym]
勧	[𠂉一隹力_ma_a_ni_ym]
勨	[⺈口{乑}力_r_j_gq_ym]
勩	[廿㇗貝力_ea_z_lo_ym]
勪	[丿大口{冋}力_m_gd_j_ld_ym]
勫	[釆田力_pf_ki_ym]
勬	[龹糸力_ub_z_ym]
勭	[立日土力_su_k_b_ym]
勮	[虍豕力_ih_gq_ym]
勯	[亠囗口日一力_s_jd_j_k_a_ym]
勰	[力力力田心_ym_ym_ym_ki_wz]
勱	[艹日冂{厶}力_e_k_ld_zs_ym]
勲	[千日二力灬_me_k_bd_ym_uo]
勳	[千{柬中}二灬力_me_lk_bd_uo_ym]
勴	[虍田心力_ih_ki_wz_ym]
勵	[厂艹日冂{厶}力_gg_e_k_ld_zs_ym]
勶	[彳亠厶⺝攵力_oi_s_zs_q_mo_ym]
勷	[亠口口{冓上}𧘇力_s_j_j_eb_rh_ym]
勸	[艹口口隹力_e_j_j_ni_ym]
勹	[勹_ry]
勺	[勹丶_ry_s]
勻	[勹二_ry_bd]
勼	[勹九_ry_qy]
勽	[勹人_ry_od]
勾	[勹厶_ry_zs]
勿	[勹{丿丿}_ry_od]
匀	[勹冫_ry_td]
匁	[勹丿㇏_ry_m_s]
匂	[勹匕_ry_rr]
匃	[匃_ry]
匄	[勹亡_ry_sh]
包	[包_ry]
匆	[勹{丿丿}丶_ry_od_s]
匇	[勹夕_ry_rs]
匈	[勹㐅凵_ry_os_zi]
匉	[勹一{伞下}_ry_a_ua]
匊	[勹米_ry_uf]
匋	[勹𠂉十凵_ry_ma_ed_zi]
匌	[勹人一口_ry_od_a_j]
匍	[勹甫_ry_fb]
匎	[勹大日乚_ry_gd_k_z]
匏	[大二㇉包_gd_bd_z_ry]
匐	[勹一口田_ry_a_j_ki]
匑	[勹身弓_ry_nc_yz]
匒	[勹艹人一口_ry_e_od_a_j]
匓	[勹{艮}殳_ry_xo_qx]
匔	[勹身口口_ry_nc_j_j]
匕	[匕_rr]
化	[亻𠤎_n_rr]
北	[{北左}匕_ti_rr]
匘	[匕巛{囟框}㐅_rr_zd_nj_os]
匙	[日一龰匕_k_a_ii_rr]
匚	[匚_h]
匛	[匚𠂊㇏_h_r_s]
匜	[匚也_h_yi]
匝	[匚巾_h_li]
匞	[匚工_h_bi]
匟	[匚亠几_h_s_qd]
匠	[匚斤_h_pd]
匡	[匚王_h_c]
匢	[匚勹{丿丿}_h_ry_od]
匣	[匚甲_h_kib]
匤	[匚玉_h_cs]
匥	[匚厶廾_h_zs_e]
匦	[匚车九_h_he_qy]
匧	[匚大人人_h_gd_od_od]
匨	[匚爿士_h_zi_b]
匩	[匚屮一土_h_zi_a_b]
匪	[匚非_h_kc]
匫	[匚勹{丿丿}日_h_ry_od_k]
匬	[匚人一⺝刂_h_od_a_q_kd]
匭	[匚車九_h_fk_qy]
匮	[匚口丨一贝_h_j_i_a_lo]
匯	[匚氵隹_h_v_ni]
匰	[匚口口日十_h_j_j_k_ed]
匱	[匚口丨一貝_h_j_i_a_lo]
匲	[匚大口口口_h_gd_j_j_j]
匳	[匚人一口口人人_h_od_a_j_j_od_od]
匴	[匚⺮目廾_h_m_l_e]
匵	[匚士罒貝_h_b_lk_lo]
匶	[匚艹隹臼_h_e_ni_nb]
匷	[匚目目隹_h_l_l_ni]
匸	[匸_h]
匹	[匸儿_h_rd]
区	[匸㐅_h_os]
医	[匸矢_h_ma]
匼	[匸人一口_h_od_a_j]
匽	[匸日女_h_k_zm]
匾	[匸户{扁下}_h_wm_ld]
匿	[匸艹𠂇口_h_e_gd_j]
區	[匸口口口_h_j_j_j]
十	[十_ed]
卂	[⺄十_yda_ed]
千	[千_me]
卄	[卄_e]
卅	[一川_a_nd]
卆	[九十_qy_ed]
升	[丿廾_m_e]
午	[𠂉十_ma_ed]
卉	[十廾_ed_e]
半	[半_ub]
卋	[十廿_ed_ea]
卌	[卌_e]
卍	[㇅丨一丨_y_i_a_i]
华	[亻𠤎十_n_rr_ed]
协	[十力八_ed_ym_o]
卐	[㇞一丨一_z_a_i_a]
卑	[{卑上}十_nj_ed]
卒	[亠人人十_s_od_od_ed]
卓	[⺊日十_id_k_ed]
協	[十力力力_ed_ym_ym_ym]
单	[丷日十_ud_k_ed]
卖	[十乛⺀大_ed_x_td_gd]
南	[十{南下}_ed_ld]
単	[⺍日十_vd_k_ed]
卙	[其㇗十_ec_z_ed]
博	[十甫寸_ed_fb_ds]
卛	[龻十_zs_ed]
卜	[卜_id]
卝	[丨一⺊_i_a_id]
卞	[亠卜_s_id]
卟	[口卜_j_id]
占	[⺊口_id_j]
卡	[⺊一卜_id_a_id]
卢	[⺊尸_id_xm]
卣	[⺊囗コ_id_jd_x]
卤	[⺊囗㐅_id_jd_os]
卥	[⺊囗{丿丿}丶_id_jd_od_s]
卦	[土土卜_b_b_id]
卧	[臣卜_h_id]
卨	[⺊咼_id_lj]
卩	[卩_y]
卪	[卩丶_y_s]
卫	[ㄗ一_y_a]
卬	[{卬左}卩_rh_y]
卭	[工卩_bi_y]
卮	[⺁一㔾_pd_a_yyb]
卯	[{卬左}丿卩_rh_m_y]
印	[{卬左}一卩_rh_a_y]
危	[⺈厂㔾_r_gg_yyb]
卲	[刀口卩_yd_j_y]
即	[{艮}卩_xo_y]
却	[土厶卩_b_zs_y]
卵	[{卬左}丿丶卩丶_rh_m_s_y_s]
卶	[夕夕卩_rs_rs_y]
卷	[龹㔾_ub_yyb]
卸	[𠂉一止卩_ma_a_ii_y]
卹	[丿皿卩_m_lka_y]
卺	[㇇水一㔾_x_kv_a_yyb]
卻	[八人口卩_o_od_j_y]
卼	[兀⺈厂㔾_gr_r_gg_yyb]
卽	[白匕卩_nk_rr_y]
卾	[口口二㇉卩_j_j_bd_z_y]
卿	[{卬左}丿{艮}卩_rh_m_xo_y]
厀	[木人氺卩_f_od_kv_y]
厁	[人{余下}⺀十ㄗ_od_mf_td_ed_y]
厂	[厂_gg]
厃	[⺈厂_r_gg]
厄	[厂㔾_gg_yyb]
厅	[厂丁_gg_ai]
历	[厂力_gg_ym]
厇	[厂丿七_gg_m_hd]
厈	[厂一十_gg_a_ed]
厉	[厂一{万下}_gg_a_ym]
厊	[厂牙_gg_hi]
压	[厂土丶_gg_b_s]
厌	[厂大丶_gg_gd_s]
厍	[厂车_gg_he]
厎	[厂氏丶_gg_rh_s]
厏	[厂𠂉ㅑ_gg_ma_id]
厐	[厂龙_gg_gm]
厑	[厂口匕_gg_j_rr]
厒	[厂𠂉十凵_gg_ma_ed_zi]
厓	[厂土土_gg_b_b]
厔	[厂至_gg_hb]
厕	[厂贝刂_gg_lo_kd]
厖	[厂尨_gg_gm]
厗	[厂辛_gg_se]
厘	[厂日土_gg_k_b]
厙	[厂車_gg_fk]
厚	[厂日子_gg_k_ya]
厛	[厂口斤_gg_j_pd]
厜	[厂千艹{二}_gg_me_e_bd]
厝	[厂龷日_gg_ea_k]
厞	[厂非_gg_kc]
原	[厂白小_gg_nk_ko]
厠	[厂貝刂_gg_lo_kd]
厡	[厂白水_gg_nk_kv]
厢	[厂木目_gg_f_l]
厣	[厂大丶甲_gg_gd_s_kib]
厤	[厂禾禾_gg_mf_mf]
厥	[厂䒑{艸左}欠_gg_ua_zi_ro]
厦	[厂一自夊_gg_a_nl_rs]
厧	[厂十{且}八_gg_ed_lc_o]
厨	[厂一口䒑寸_gg_a_j_ua_ds]
厩	[厂{艮}{匸}儿_gg_xo_h_rd]
厪	[厂廿口龶_gg_ea_j_ci]
厫	[厂龶{万下}攵_gg_ci_ym_mo]
